job_id,source_job_id,alias_no,alias_name
JT0559,559,3,配電装置組立工
JT0559,559,4,電気制御盤組立工
JT0559,559,5,開閉制御機器組立工
JT0559,559,6,制御機器製造工
JT0559,559,7,制御装置組立工
JT0562,562,1,興信所調査員
JT0563,563,1,医師
JT0565,565,1,保健室の先生
JT0566,566,1,イベントプランナー
JT0566,566,2,企画係事務員
JT0567,567,1,大学職員(私立大学)
JT0568,568,1,児発管
JT0573,573,1,オーケストラの楽員
JT0575,575,1,医師
JT0583,583,1,医師
